,Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Franchise,player_url
7,8,Pero Antić,2014,2015,2,113.0,1962.0,231.0,590.0,108.0,344.0,138.0,189.0,115.0,398.0,107.0,37.0,26.0,104.0,258.0,708.0,0.392,0.314,0.73,17.4,6.3,3.5,0.9,Atlanta Hawks,/players/a/anticpe01.html
53,54,Charlie Brown,2020,2020,1,10.0,40.0,6.0,19.0,3.0,9.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,20.0,0.316,0.333,1.0,4.0,2.0,0.4,0.2,Atlanta Hawks,/players/b/brownch02.html
83,84,Speedy Claxton,2007,2009,2,44.0,1069.0,93.0,285.0,6.0,28.0,34.0,62.0,12.0,81.0,188.0,72.0,4.0,75.0,132.0,226.0,0.326,0.214,0.548,24.3,5.1,1.8,4.3,Atlanta Hawks,/players/c/claxtsp01.html
91,92,John Collins,2018,2021,4,207.0,5934.0,1344.0,2377.0,170.0,456.0,534.0,693.0,577.0,1781.0,327.0,114.0,215.0,341.0,654.0,3392.0,0.565,0.373,0.771,28.7,16.4,8.6,1.6,Atlanta Hawks,/players/c/collijo01.html
117,118,Malcolm Delaney,2017,2018,2,127.0,2262.0,254.0,673.0,72.0,234.0,149.0,185.0,19.0,223.0,356.0,74.0,7.0,161.0,194.0,729.0,0.377,0.308,0.805,17.8,5.7,1.8,2.8,Atlanta Hawks,/players/d/delanma01.html
147,148,Bruno Fernando,2020,2021,2,72.0,856.0,113.0,222.0,5.0,39.0,38.0,66.0,79.0,254.0,58.0,20.0,19.0,54.0,123.0,269.0,0.509,0.128,0.576,11.9,3.7,3.5,0.8,Atlanta Hawks,/players/f/fernabr01.html
159,160,Thomas Gardner,2009,2009,1,16.0,98.0,9.0,36.0,4.0,23.0,2.0,4.0,0.0,7.0,2.0,4.0,1.0,3.0,4.0,24.0,0.25,0.174,0.5,6.1,1.5,0.4,0.1,Atlanta Hawks,/players/g/gardnth01.html
225,226,Kevin Huerter,2019,2021,3,162.0,4796.0,669.0,1596.0,331.0,865.0,115.0,146.0,116.0,584.0,540.0,154.0,58.0,234.0,367.0,1784.0,0.419,0.383,0.788,29.6,11.0,3.6,3.3,Atlanta Hawks,/players/h/huertke01.html
226,227,Isaac Humphries,2019,2019,1,5.0,56.0,6.0,21.0,3.0,11.0,0.0,0.0,4.0,11.0,0.0,1.0,0.0,0.0,7.0,15.0,0.286,0.273,,11.2,3.0,2.2,0.0,Atlanta Hawks,/players/h/humphis01.html
228,229,De'Andre Hunter,2020,2021,2,81.0,2597.0,388.0,893.0,138.0,386.0,174.0,217.0,60.0,383.0,152.0,61.0,27.0,128.0,229.0,1088.0,0.434,0.358,0.802,32.1,13.4,4.7,1.9,Atlanta Hawks,/players/h/huntede01.html
229,230,Othello Hunter,2009,2010,2,23.0,125.0,15.0,32.0,0.0,0.0,3.0,9.0,15.0,36.0,1.0,2.0,6.0,5.0,16.0,33.0,0.469,,0.333,5.4,1.4,1.6,0.0,Atlanta Hawks,/players/h/hunteot01.html
244,245,Ivan Johnson,2012,2013,2,125.0,1969.0,326.0,631.0,3.0,19.0,153.0,231.0,141.0,492.0,78.0,99.0,32.0,140.0,247.0,808.0,0.517,0.158,0.662,15.8,6.5,3.9,0.6,Atlanta Hawks,/players/j/johnsiv01.html
261,262,Nathan Knight,2021,2021,1,9.0,54.0,9.0,22.0,3.0,9.0,7.0,8.0,8.0,14.0,1.0,2.0,3.0,4.0,7.0,28.0,0.409,0.333,0.875,6.0,3.1,1.6,0.1,Atlanta Hawks,/players/k/knighna01.html
312,313,Skylar Mays,2021,2021,1,13.0,98.0,16.0,39.0,7.0,17.0,9.0,10.0,3.0,8.0,12.0,5.0,0.0,3.0,5.0,48.0,0.41,0.412,0.9,7.5,3.7,0.6,0.9,Atlanta Hawks,/players/m/mayssk01.html
346,347,Randolph Morris,2009,2010,2,51.0,213.0,30.0,58.0,0.0,0.0,20.0,31.0,14.0,58.0,4.0,7.0,4.0,19.0,59.0,80.0,0.517,,0.645,4.2,1.6,1.1,0.1,Atlanta Hawks,/players/m/morrira01.html
373,374,Onyeka Okongwu,2021,2021,1,11.0,117.0,14.0,27.0,0.0,1.0,8.0,13.0,6.0,27.0,4.0,5.0,7.0,6.0,19.0,36.0,0.519,0.0,0.615,10.6,3.3,2.5,0.4,Atlanta Hawks,/players/o/okongon01.html
384,385,Lamar Patterson,2016,2017,2,40.0,435.0,31.0,95.0,13.0,55.0,18.0,25.0,5.0,57.0,45.0,10.0,2.0,27.0,51.0,93.0,0.326,0.236,0.72,10.9,2.3,1.4,1.1,Atlanta Hawks,/players/p/pattela01.html
414,415,Cam Reddish,2020,2021,2,84.0,2301.0,309.0,817.0,116.0,376.0,168.0,208.0,57.0,320.0,122.0,95.0,37.0,130.0,200.0,902.0,0.378,0.309,0.808,27.4,10.7,3.8,1.5,Atlanta Hawks,/players/r/reddica01.html
451,452,Jordan Sibert,2019,2019,1,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,,4.0,3.0,0.0,0.0,Atlanta Hawks,/players/s/siberjo01.html
485,486,Pape Sy,2011,2011,1,3.0,21.0,2.0,6.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,3.0,1.0,7.0,0.333,0.0,1.0,7.0,2.3,1.0,0.7,Atlanta Hawks,/players/s/sypa01.html
531,532,Andrew White,2018,2018,1,15.0,209.0,25.0,73.0,18.0,49.0,1.0,4.0,4.0,34.0,6.0,3.0,1.0,8.0,12.0,69.0,0.342,0.367,0.25,13.9,4.6,2.3,0.4,Atlanta Hawks,/players/w/whitean01.html
566,567,Trae Young,2019,2021,3,170.0,5634.0,1297.0,3026.0,428.0,1231.0,1087.0,1273.0,119.0,673.0,1492.0,161.0,31.0,722.0,302.0,4109.0,0.429,0.348,0.854,33.1,24.2,4.0,8.8,Atlanta Hawks,/players/y/youngtr01.html
584,16,Chris Babb,2014,2014,1,14.0,132.0,8.0,30.0,6.0,27.0,0.0,0.0,4.0,17.0,3.0,6.0,0.0,3.0,13.0,22.0,0.267,0.222,,9.4,1.6,1.2,0.2,Boston Celtics,/players/b/babbch01.html
607,39,Jabari Bird,2018,2018,1,13.0,115.0,15.0,26.0,3.0,7.0,6.0,13.0,6.0,19.0,8.0,3.0,1.0,8.0,7.0,39.0,0.577,0.429,0.462,8.8,3.0,1.5,0.6,Boston Celtics,/players/b/birdja01.html
628,60,Jaylen Brown,2017,2021,5,308.0,8321.0,1642.0,3468.0,463.0,1234.0,652.0,942.0,272.0,1404.0,509.0,273.0,111.0,499.0,762.0,4399.0,0.473,0.375,0.692,27.0,14.3,4.6,1.7,Boston Celtics,/players/b/brownja02.html
645,77,Coty Clarke,2016,2016,1,3.0,6.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.5,1.0,,2.0,2.0,0.3,0.0,Boston Celtics,/players/c/clarkco01.html
689,121,Carsen Edwards,2020,2021,2,50.0,485.0,66.0,183.0,34.0,106.0,20.0,28.0,8.0,60.0,29.0,16.0,5.0,17.0,50.0,186.0,0.361,0.321,0.714,9.7,3.7,1.2,0.6,Boston Celtics,/players/e/edwarca01.html
697,129,Tacko Fall,2020,2021,2,13.0,82.0,19.0,26.0,0.0,0.0,4.0,11.0,9.0,36.0,1.0,1.0,12.0,4.0,16.0,42.0,0.731,,0.364,6.3,3.2,2.8,0.1,Boston Celtics,/players/f/fallta01.html
699,131,Vítor Faverani,2014,2014,1,37.0,488.0,64.0,147.0,12.0,40.0,24.0,37.0,42.0,128.0,16.0,14.0,27.0,41.0,74.0,164.0,0.435,0.3,0.649,13.2,4.4,3.5,0.4,Boston Celtics,/players/f/favervi01.html
723,155,Javonte Green,2020,2021,2,67.0,748.0,94.0,188.0,16.0,54.0,48.0,71.0,42.0,139.0,34.0,41.0,10.0,35.0,67.0,252.0,0.5,0.296,0.676,11.2,3.8,2.1,0.5,Boston Celtics,/players/g/greenja02.html
775,207,JaJuan Johnson,2012,2012,1,36.0,298.0,54.0,121.0,0.0,0.0,6.0,9.0,20.0,58.0,6.0,5.0,14.0,14.0,25.0,114.0,0.446,,0.667,8.3,3.2,1.6,0.2,Boston Celtics,/players/j/johnsja02.html
807,239,Oliver Lafayette,2010,2010,1,1.0,22.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,7.0,0.5,0.5,,22.0,7.0,4.0,2.0,Boston Celtics,/players/l/lafayol01.html
810,242,Romeo Langford,2020,2020,1,32.0,370.0,28.0,80.0,5.0,27.0,18.0,25.0,15.0,41.0,13.0,8.0,8.0,11.0,33.0,79.0,0.35,0.185,0.72,11.6,2.5,1.3,0.4,Boston Celtics,/players/l/langfro01.html
828,260,Stephon Marbury,2009,2009,1,23.0,414.0,38.0,111.0,6.0,25.0,6.0,13.0,2.0,28.0,75.0,10.0,3.0,37.0,34.0,88.0,0.342,0.24,0.462,18.0,3.8,1.2,3.3,Boston Celtics,/players/m/marbust01.html
840,272,Fab Melo,2013,2013,1,6.0,36.0,3.0,6.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,2.0,2.0,1.0,7.0,7.0,0.5,,0.25,6.0,1.2,0.5,0.0,Boston Celtics,/players/m/melofa01.html
866,298,Aaron Nesmith,2021,2021,1,16.0,259.0,20.0,55.0,14.0,43.0,8.0,10.0,9.0,41.0,7.0,2.0,5.0,10.0,34.0,62.0,0.364,0.326,0.8,16.2,3.9,2.6,0.4,Boston Celtics,/players/n/nesmiaa01.html
876,308,Semi Ojeleye,2018,2021,4,228.0,3341.0,271.0,680.0,154.0,439.0,95.0,137.0,105.0,486.0,105.0,62.0,13.0,75.0,252.0,791.0,0.399,0.351,0.693,14.7,3.5,2.1,0.5,Boston Celtics,/players/o/ojelese01.html
905,337,Payton Pritchard,2021,2021,1,25.0,525.0,70.0,156.0,33.0,88.0,14.0,15.0,12.0,56.0,59.0,14.0,5.0,31.0,48.0,187.0,0.449,0.375,0.933,21.0,7.5,2.2,2.4,Boston Celtics,/players/p/pritcpa01.html
906,338,Gabe Pruitt,2008,2009,2,62.0,461.0,45.0,140.0,17.0,60.0,18.0,23.0,10.0,51.0,52.0,20.0,3.0,24.0,44.0,125.0,0.321,0.283,0.783,7.4,2.0,0.8,0.8,Boston Celtics,/players/p/pruitga01.html
952,384,Marcus Smart,2015,2021,7,418.0,12156.0,1386.0,3707.0,612.0,1925.0,788.0,1019.0,364.0,1477.0,1731.0,661.0,159.0,714.0,1086.0,4172.0,0.374,0.318,0.773,29.1,10.0,3.5,4.1,Boston Celtics,/players/s/smartma01.html
976,408,Jayson Tatum,2018,2021,4,251.0,8087.0,1660.0,3644.0,482.0,1209.0,779.0,934.0,199.0,1523.0,616.0,293.0,186.0,458.0,525.0,4581.0,0.456,0.399,0.834,32.2,18.3,6.1,2.5,Boston Celtics,/players/t/tatumja01.html
981,413,Daniel Theis,2018,2021,4,223.0,4130.0,619.0,1113.0,100.0,285.0,232.0,314.0,354.0,1075.0,276.0,106.0,208.0,175.0,622.0,1570.0,0.556,0.351,0.739,18.5,7.0,4.8,1.2,Boston Celtics,/players/t/theisda01.html
1011,443,Tremont Waters,2020,2021,2,20.0,209.0,20.0,76.0,7.0,36.0,15.0,16.0,2.0,20.0,41.0,15.0,2.0,28.0,19.0,62.0,0.263,0.194,0.938,10.5,3.1,1.0,2.1,Boston Celtics,/players/w/watertr01.html
1030,462,Grant Williams,2020,2021,2,94.0,1512.0,133.0,313.0,46.0,149.0,54.0,83.0,84.0,253.0,92.0,41.0,46.0,74.0,235.0,366.0,0.425,0.309,0.651,16.1,3.9,2.7,1.0,Boston Celtics,/players/w/willigr01.html
1033,465,Robert Williams,2019,2021,3,85.0,1040.0,168.0,233.0,0.0,1.0,47.0,75.0,123.0,343.0,53.0,55.0,108.0,54.0,129.0,383.0,0.721,0.0,0.627,12.2,4.5,4.0,0.6,Boston Celtics,/players/w/williro04.html
1045,477,Guerschon Yabusele,2018,2019,2,74.0,486.0,61.0,138.0,21.0,65.0,30.0,44.0,40.0,105.0,31.0,12.0,12.0,27.0,55.0,173.0,0.442,0.323,0.682,6.6,2.3,1.4,0.4,Boston Celtics,/players/y/yabusgu01.html
1091,44,Josh Boone,2007,2010,4,256.0,4482.0,567.0,1042.0,0.0,0.0,206.0,463.0,484.0,1258.0,125.0,99.0,178.0,169.0,466.0,1340.0,0.544,,0.445,17.5,5.2,4.9,0.5,Brooklyn Nets,/players/b/boonejo01.html
1139,92,Nicolas Claxton,2020,2021,2,16.0,201.0,28.0,50.0,1.0,7.0,14.0,25.0,19.0,45.0,17.0,1.0,9.0,10.0,14.0,71.0,0.56,0.143,0.56,12.6,4.4,2.8,1.1,Brooklyn Nets,/players/c/claxtni01.html
1173,126,Milton Doyle,2018,2018,1,10.0,125.0,13.0,47.0,4.0,23.0,4.0,8.0,3.0,18.0,10.0,6.0,2.0,2.0,13.0,34.0,0.277,0.174,0.5,12.5,3.4,1.8,1.0,Brooklyn Nets,/players/d/doylemi01.html
1184,137,Andre Emmett,2012,2012,1,6.0,45.0,4.0,7.0,0.0,1.0,5.0,8.0,2.0,6.0,1.0,2.0,1.0,2.0,2.0,13.0,0.571,0.0,0.625,7.5,2.2,1.0,0.2,Brooklyn Nets,/players/e/emmetan01.html
1228,181,Orien Greene,2011,2011,1,3.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.5,,0.5,1.7,1.0,0.0,0.3,Brooklyn Nets,/players/g/greenor01.html
