player_names,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
AJ Hammons,,,,,,,,650000.0,1312611.0,,
AJ Price,457588.0,762195.0,854389.0,885120.0,947907.0,493917.0,,,,,
Aaron Brooks,1118520.0,2016692.0,,5750000.0,1027424.0,915243.0,2250000.0,2700000.0,2116955.0,,
Aaron Gordon,,,,,,3992040.0,4171680.0,4351320.0,5504419.0,21590909.0,19863636.0
Aaron Gray,1000497.0,1028840.0,2500000.0,,2612500.0,1227985.0,1356146.0,,,,
Aaron Harrison,,,,,,,525093.0,365289.0,174570.0,,
Aaron Holiday,,,,,,,,,,1914480.0,2239200.0
Aaron Jackson,,,,,,,,,46079.0,,
Abdel Nader,,,,,,,,,1167333.0,1378242.0,1618520.0
Acie Law,2216160.0,859087.0,,,,,,,,,
Adam Mokoka,,,,,,,,,,,79568.0
Adam Morrison,5257229.0,,,,,,,,,,
Admiral Schofield,,,,,,,,,,,1000000.0
Adonal Foyle,1306455.0,,,,,,,,,,
Adreian Payne,,,,,,1855320.0,1938840.0,2022240.0,77250.0,,
Al Harrington,10026875.0,5765000.0,6226200.0,6687400.0,8548107.0,7609800.0,,,,,
Al Horford,4307640.0,5444857.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,26540100.0,27734405.0,28928710.0,28000000.0
Al Jefferson,12000000.0,13000000.0,14000000.0,15000000.0,13500000.0,13500000.0,13500000.0,10230179.0,9769821.0,4000000.0,
Al Thornton,1900200.0,2814196.0,,,,,,,,,
Al-Farouq Aminu,,2563320.0,2755560.0,2947800.0,3700000.0,981084.0,8042895.0,7680965.0,7319035.0,6957105.0,9258000.0
Alan Anderson,,,,885120.0,947907.0,1276061.0,4000000.0,1315448.0,,,
Alan Williams,,,,,,,114284.0,874636.0,6000000.0,77250.0,
Alando Tucker,1071720.0,,,,,,,,,,
Alec Burks,,,2020200.0,2171640.0,2323200.0,3201369.0,9213484.0,9904495.0,10845506.0,11536515.0,2320044.0
Alec Peters,,,,,,,,,77250.0,,
Aleksandar Pavlovic,2750000.0,202295.0,1223166.0,1232713.0,,,,,,,
Alen Smailagic,,,,,,,,,,,898310.0
Alex Abrines,,,,,,,,5994764.0,5725000.0,3667645.0,
Alex Caruso,,,,,,,,50000.0,77250.0,77250.0,2750000.0
Alex Kirk,,,,,,214871.0,,,,,
Alex Len,,,,,3492720.0,3649920.0,3807120.0,4823621.0,4187599.0,4350000.0,4160000.0
Alex Poythress,,,,,,,,73743.0,778668.0,77250.0,
Alex Stepheson,,,,,,,92662.0,,,,
Alexey Shved,,,,3017943.0,3066667.0,3198723.0,,,,,
Alexis Ajinca,1372080.0,1467840.0,,,635880.0,981084.0,4539607.0,4863206.0,4961798.0,5285394.0,
Alfonzo McKinnie,,,,,,,,,815615.0,1349383.0,2391985.0
Alize Johnson,,,,,,,,,,838464.0,1416852.0
Allen Crabbe,,,,,825000.0,862000.0,947276.0,18500000.0,18500000.0,19332500.0,
Allen Iverson,1191180.0,,,,,,,,,,
Allonzo Trier,,,,,,,,,,3382000.0,
Alonzo Gee,,681492.0,854389.0,3500000.0,3250000.0,1063384.0,1320000.0,2255408.0,,,
Amare Stoudemire,16378325.0,16486611.0,18217705.0,19948799.0,21679893.0,21896658.0,1499187.0,,,,
Amile Jefferson,,,,,,,,,77250.0,77250.0,
Amir Coffey,,,,,,,,,,,79568.0
Amir Johnson,3666666.0,5000000.0,5500000.0,6000000.0,6500000.0,7000000.0,12000000.0,12000000.0,11000000.0,2393887.0,
Anderson Varejao,6300000.0,7281818.0,7700000.0,8400000.0,9100000.0,9800000.0,10158574.0,10851659.0,,,
Andray Blatche,3000000.0,5900000.0,6442083.0,7972891.0,9170525.0,,,,,,
Andre Dawkins,,,,,,271697.0,,,,,
Andre Drummond,,,,2356320.0,2462400.0,2568360.0,3272090.0,22116750.0,23775506.0,25434262.0,27093018.0
Andre Emmett,,,61433.0,,,,,,,,
Andre Iguodala,12200000.0,12345250.0,13531750.0,14718250.0,12868632.0,12289544.0,11710456.0,11131368.0,14814815.0,16000000.0,17185185.0
Andre Ingram,,,,,,,,,46079.0,76236.0,
Andre Miller,6730800.0,7269264.0,7807728.0,5000000.0,5000000.0,4625000.0,1490369.0,,,,
Andre Roberson,,,,,1110840.0,1160880.0,1210800.0,2183072.0,9259260.0,10000000.0,10740740.0
Andrea Bargnani,6527491.0,8500000.0,9250000.0,10000000.0,11000000.0,12000000.0,1362897.0,,,,
Andrei Kirilenko,16452000.0,17823000.0,,9779349.0,3183000.0,3326235.0,,,,,
Andres Nocioni,7500000.0,6850000.0,6650000.0,,,,,,,,
Andrew Bogut,10000000.0,11000000.0,12000000.0,13150000.0,14200000.0,12972973.0,12000000.0,11410378.0,1078810.0,486892.0,
Andrew Bynum,12526998.0,13700000.0,14900000.0,16473002.0,7000000.0,,,,,,
Andrew Goudelock,,,473604.0,44835.0,,,200600.0,,,,
Andrew Harrison,,,,,,,,945000.0,1312611.0,354500.0,
Andrew Nicholson,,,,1418160.0,1482000.0,1545840.0,2380593.0,6088993.0,2844429.0,2844429.0,
Andrew White,,,,,,,,,77250.0,,
Andrew Wiggins,,,,,,5510640.0,5758680.0,6006600.0,7574322.0,25467250.0,27504630.0
Andris Biedrins,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,,,,,,
Andy Rautins,,600000.0,788872.0,,,,,,,,
Anfernee Simons,,,,,,,,,,1837800.0,2149560.0
Angel Delgado,,,,,,,,,,77250.0,
Antawn Jamison,11641095.0,13358905.0,15076715.0,1352181.0,1399507.0,,,,,,
Ante Zizic,,,,,,,,,1645200.0,1952760.0,2281800.0
Anthony Barber,,,,,,,,50000.0,,,
Anthony Bennett,,,,,5324280.0,5563920.0,4597276.0,1015696.0,,,
Anthony Brown,,,,,,,525093.0,1023838.0,77250.0,,
Anthony Carter,1306455.0,1352181.0,1352181.0,,,,,,,,
Anthony Davis,,,,5144280.0,5375760.0,5607240.0,7070730.0,22116750.0,23775506.0,25434263.0,27093019.0
Anthony Johnson,2160000.0,,,,,,,,,,
Anthony Morrow,736420.0,4000000.0,4000000.0,4000000.0,1027424.0,3200000.0,3344000.0,3488000.0,,,
Anthony Parker,2644230.0,2855700.0,2250000.0,,,,,,,,
Anthony Randolph,1837560.0,1965720.0,2911231.0,1674641.0,1750000.0,1825359.0,,,,,
Anthony Tolliver,411529.0,2200000.0,2050000.0,915852.0,,3000000.0,3000000.0,8000000.0,5290000.0,5750000.0,434704.0
Antoine Wright,2110550.0,992680.0,,,,,,,,,
Antonio Anderson,139968.0,,,,,,,,,,
Antonio Blakeney,,,,,,,,,77250.0,1349383.0,
Antonio Daniels,5863580.0,,,,,,,,,,
Antonio McDyess,7500000.0,4860000.0,2640000.0,,,,,,,,
Antonius Cleveland,,,,,,,,,384116.0,,79568.0
Anzejs Pasecniks,,,,,,,,,,,482144.0
Archie Goodwin,,,,,1064400.0,1112280.0,1160160.0,2350999.0,,77250.0,
Arinze Onuaku,,,,,106776.0,48028.0,,426775.0,,,
Armon Johnson,,473604.0,762195.0,,,,,,,,
Arnett Moultrie,,,,1042320.0,1089240.0,1136160.0,,,,,
Aron Baynes,,,,239588.0,788872.0,2100000.0,6500000.0,6500000.0,4300000.0,5193600.0,5453280.0
Arron Afflalo,1086240.0,1959577.0,7562500.0,7562500.0,7562500.0,7562500.0,8000000.0,12500000.0,5328652.0,,
Austin Daye,1677840.0,1803720.0,1929600.0,2958444.0,947907.0,1263550.0,,,,,
Austin Rivers,,,,2238360.0,2339040.0,2439840.0,3110796.0,11000000.0,11825000.0,13155324.0,2174310.0
Avery Bradley,,1418160.0,1524480.0,1630800.0,2511432.0,7191011.0,7730337.0,8269663.0,8808989.0,12000000.0,4767000.0
Axel Toupane,,,,,,,61775.0,977534.0,,,
BJ Johnson,,,,,,,,,,142111.0,79568.0
BJ Mullens,1120200.0,1204200.0,1288200.0,2253061.0,947907.0,,,,,,
Bam Adebayo,,,,,,,,,2490360.0,2955840.0,3454080.0
Baron Davis,12150000.0,13000000.0,15252181.0,14850000.0,,,,,,,
Beau Beech,,,,,,,,45000.0,,,
Ben Bentil,,,,,,,,281968.0,,,
