Franchise,team_url,F,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,https://basketball-reference.com/teams/ATL/,Atlanta Hawks,NBA,1949-50,2020-21,72,5650,2779,2871,.492,46,11,0,1
Atlanta Hawks,,Atlanta Hawks,NBA,1968-69,2020-21,53,4232,2081,2151,.492,33,5,0,0
St. Louis Hawks,,Atlanta Hawks,NBA,1955-56,1967-68,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,,Atlanta Hawks,NBA,1951-52,1954-55,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,,Atlanta Hawks,NBA,1949-50,1950-51,2,132,54,78,.409,1,0,0,0
Boston Celtics,https://basketball-reference.com/teams/BOS/,Boston Celtics,NBA/BAA,1946-47,2020-21,75,5827,3441,2386,.591,57,31,9,17
Brooklyn Nets,https://basketball-reference.com/teams/NJN/,Brooklyn Nets,NBA/ABA,1967-68,2020-21,54,4327,1880,2447,.434,28,5,2,2
Brooklyn Nets,,Brooklyn Nets,NBA,2012-13,2020-21,9,679,298,381,.439,5,0,0,0
New Jersey Nets,,Brooklyn Nets,NBA,1977-78,2011-12,35,2822,1186,1636,.420,16,4,2,0
New York Nets,,Brooklyn Nets,NBA,1976-77,1976-77,1,82,22,60,.268,0,0,0,0
New York Nets,,Brooklyn Nets,ABA,1968-69,1975-76,8,666,338,328,.508,7,1,0,2
New Jersey Americans,,Brooklyn Nets,ABA,1967-68,1967-68,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,https://basketball-reference.com/teams/CHA/,Charlotte Hornets,NBA,1988-89,2020-21,31,2425,1064,1361,.439,10,0,0,0
Charlotte Hornets,,Charlotte Hornets,NBA,2014-15,2020-21,7,505,229,276,.453,1,0,0,0
Charlotte Bobcats,,Charlotte Hornets,NBA,2004-05,2013-14,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,,Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,https://basketball-reference.com/teams/CHI/,Chicago Bulls,NBA,1966-67,2020-21,55,4392,2241,2151,.510,35,9,6,6
Cleveland Cavaliers,https://basketball-reference.com/teams/CLE/,Cleveland Cavaliers,NBA,1970-71,2020-21,51,4067,1878,2189,.462,22,7,5,1
Dallas Mavericks,https://basketball-reference.com/teams/DAL/,Dallas Mavericks,NBA,1980-81,2020-21,41,3255,1630,1625,.501,22,3,2,1
Denver Nuggets,https://basketball-reference.com/teams/DEN/,Denver Nuggets,NBA/ABA,1967-68,2020-21,54,4326,2179,2147,.504,35,12,0,0
Denver Nuggets,,Denver Nuggets,NBA,1976-77,2020-21,45,3582,1766,1816,.493,26,9,0,0
Denver Nuggets,,Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Denver Rockets,,Denver Nuggets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,https://basketball-reference.com/teams/DET/,Detroit Pistons,NBA/BAA,1948-49,2020-21,73,5711,2762,2949,.484,42,11,5,3
Detroit Pistons,,Detroit Pistons,NBA,1957-58,2020-21,64,5092,2449,2643,.481,34,9,5,3
Fort Wayne Pistons,,Detroit Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
