team_names,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Atlanta,65883642,71469843,73669912,66710178,58998677,58320278,71661760,96315163,99992696,79180081,85600106
Boston,83552174,82045867,79820530,75508399,70885503,62218516,77141919,93465326,115284776,125334993,117759332
Brooklyn,59366715,58495989,65281235,87644649,102589967,87817289,80258302,82391482,95475397,118850600,118889943
Charlotte,68681758,66542696,57902024,58122566,60395651,66792937,76860006,103054004,117382664,121427859,96552033
Chicago,69700359,54538076,69548447,74491280,73336893,67414682,87073838,92522306,90466801,112598201,112601901
Cleveland,83398534,53990021,64875599,54472190,66654061,82592827,108300458,128522489,137722926,123255073,129602355
Dallas,88916075,85409890,77180233,69766571,75012158,84820225,75397067,102354966,85440245,86958881,120871082
Denver,74935538,68019290,58553173,63444254,65782065,56820307,72589023,83836460,107543599,118327016,128746180
Detroit,60185833,65517821,70923605,68807497,62387432,67410675,77256014,106492988,119773191,126557932,104527576
Golden State,65352372,68415336,61576901,70036985,72503122,73611166,93669566,101584835,137610134,146291276,129254928
Houston,69095315,72315654,57021755,48048265,57823063,76849302,87504058,90956067,119905532,126474100,128109922
Indiana,66733257,65088630,51554083,66107195,67182414,74793526,71605233,90279072,95271736,110724804,112872260
LA Clippers,61616409,53225329,67333389,69152721,73049774,85259447,97019321,114756766,119093010,118026816,131506341
LA Lakers,91378064,91428140,88264478,100131988,77423614,77546500,72694352,94781848,103126557,107225482,118681883
Memphis,57287474,70241344,70628007,63054115,71992885,75158730,83223881,110083520,110700149,126107461,98495848
Miami,74208013,66205855,75469639,80427933,80841617,75813041,85764781,100740770,133624374,153171497,129867871
Milwaukee,66775602,69076690,60192388,62410041,54400846,54473275,73843541,96245877,120521249,130988604,122612183
Minnesota,62253360,53461123,56844339,64329748,68564040,69378954,72287243,83527580,116075131,121962221,114202982
New Orleans,70163827,68230729,65441008,64134537,67358651,80012866,83709371,101616451,120814452,116052756,117868297
New York,85710076,67016562,77093212,79977119,89072787,81369219,74237021,102593418,105403130,123387454,100232129
Oklahoma City,58578614,55922488,59501709,68924100,71653401,80408520,95708387,91230089,134534640,144916427,132017938
Orlando,82200916,90770804,87955505,66557496,56948031,59629210,63199651,104096951,98700258,114394213,126095610
Philadelphia,64883448,68915246,66672368,66697839,51741312,54355571,64583220,84775343,100797386,115127167,129912339
Phoenix,65288544,65979054,80640576,54196264,55569468,58018672,68095365,89754590,92684083,108692835,98539675
Portland,56946258,74584058,80920717,59442596,61260350,69936842,61685814,119732234,118708146,130256600,131979953
Sacramento,67515718,45268465,48950236,54421935,59174155,73379071,70610560,95596327,99587185,101466920,113796966
San Antonio,79338309,69522311,73732762,69838600,63115911,70770209,87832839,112017779,114633844,121588790,112390794
Toronto,67822433,69992648,55063049,63708138,71561643,81317963,71591189,108599970,116929373,137793831,122463495
Utah,71905244,75855296,58178016,65657569,56911999,60847538,63608425,80138192,105606838,113826156,118910311
Washington,73440274,58324988,55386345,59715539,64698822,73372974,85055155,104016580,123306396,123747588,121296256
